char,code_aozora,count_aozora,code_news,count_news,code_wikipedia,count_wikipedia
焙,7119,357.0,,0.0,7119,108.0
吼,543c,569.0,,0.0,543c,137.0
吽,543d,29.0,,0.0,543d,61.0
吏,540f,3631.0,,0.0,540f,823.0
煨,,0.0,,0.0,7168,1.0
煬,716c,36.0,,0.0,716c,130.0
煲,,0.0,,0.0,7172,4.0
熄,7184,199.0,,0.0,7184,2.0
焯,,0.0,,0.0,712f,10.0
焰,7130,2.0,,0.0,7130,16.0
焱,,0.0,,0.0,7131,9.0
煆,7146,4.0,,0.0,7146,2.0
煇,,0.0,,0.0,7147,17.0
煊,,0.0,,0.0,714a,12.0
煌,714c,506.0,,0.0,714c,405.0
煠,7160,16.0,,0.0,7160,1.0
煢,7162,10.0,,0.0,,0.0
煤,7164,1852.0,,0.0,7164,114.0
煦,7166,35.0,,0.0,7166,17.0
吧,5427,2.0,,0.0,5427,18.0
吩,5429,222.0,,0.0,,0.0
听,542c,12.0,,0.0,542c,2.0
吭,542d,52.0,,0.0,,0.0
吮,542e,18.0,,0.0,,0.0
启,,0.0,,0.0,542f,6.0
吴,,0.0,,0.0,5434,14.0
吵,,0.0,,0.0,5435,1.0
吶,5436,75.0,,0.0,5436,8.0
吻,543b,3140.0,,0.0,543b,409.0
䘈,4608,2.0,,0.0,,0.0
䘉,4609,1.0,,0.0,,0.0
䘊,460a,1.0,,0.0,,0.0
䘌,460c,2.0,,0.0,,0.0
䘕,4615,1.0,,0.0,,0.0
䘖,4616,27.0,,0.0,,0.0
熜,,0.0,,0.0,719c,1.0
熞,,0.0,,0.0,719e,1.0
熥,,0.0,,0.0,71a5,2.0
熨,71a8,196.0,,0.0,71a8,35.0
熬,71ac,64.0,,0.0,71ac,6.0
熲,,0.0,,0.0,71b2,11.0
煚,,0.0,,0.0,715a,1.0
煜,715c,8.0,,0.0,715c,25.0
煞,,0.0,,0.0,715e,10.0
熈,7188,13.0,,0.0,7188,52.0
熏,718f,20.0,,0.0,718f,26.0
熒,7192,56.0,,0.0,7192,3.0
熔,7194,818.0,,0.0,7194,56.0
熕,7195,2.0,,0.0,7195,25.0
熗,,0.0,,0.0,7197,1.0
䙓,4653,5.0,,0.0,,0.0
䙕,4655,1.0,,0.0,,0.0
䙚,465a,1.0,,0.0,,0.0
䙛,465b,7.0,,0.0,,0.0
䙜,465c,6.0,,0.0,,0.0
䙝,465d,73.0,,0.0,,0.0
䙦,4666,3.0,,0.0,,0.0
䙩,4669,1.0,,0.0,,0.0
䙪,466a,13.0,,0.0,,0.0
䗽,45fd,21.0,,0.0,,0.0
燼,71fc,332.0,,0.0,71fc,44.0
燾,71fe,8.0,,0.0,71fe,26.0
熳,71b3,20.0,,0.0,,0.0
熹,71b9,12.0,,0.0,71b9,236.0
熺,,0.0,,0.0,71ba,2.0
燉,71c9,9.0,,0.0,71c9,4.0
燊,,0.0,,0.0,71ca,6.0
燋,71cb,4.0,,0.0,71cb,3.0
燎,71ce,100.0,,0.0,71ce,45.0
燏,,0.0,,0.0,71cf,1.0
燐,71d0,1036.0,,0.0,71d0,275.0
燒,71d2,2313.0,,0.0,71d2,12.0
燔,71d4,49.0,,0.0,71d4,7.0
爲,7232,10078.0,,0.0,7232,49.0
爵,7235,8252.0,,0.0,7235,10752.0
爸,,0.0,,0.0,7238,18.0
燗,71d7,861.0,,0.0,71d7,20.0
燜,,0.0,,0.0,71dc,3.0
營,71df,794.0,,0.0,71df,43.0
燠,71e0,80.0,,0.0,71e0,1.0
燦,71e6,1224.0,,0.0,71e6,205.0
燧,71e7,318.0,,0.0,71e7,57.0
燬,71ec,65.0,,0.0,71ec,1.0
燭,71ed,5272.0,,0.0,71ed,156.0
燮,,0.0,,0.0,71ee,83.0
燴,,0.0,,0.0,71f4,2.0
燵,71f5,1304.0,,0.0,71f5,14.0
燹,71f9,47.0,,0.0,,0.0
牂,,0.0,,0.0,7242,21.0
牃,,0.0,,0.0,7243,1.0
牆,7246,122.0,,0.0,7246,12.0
牋,724b,30.0,,0.0,724b,8.0
牌,724c,1573.0,,0.0,724c,735.0
燿,71ff,205.0,,0.0,71ff,151.0
爀,7200,4.0,,0.0,7200,5.0
爍,720d,8.0,,0.0,720d,1.0
爐,7210,925.0,,0.0,7210,21.0
爛,721b,2179.0,,0.0,721b,364.0
爨,7228,25.0,,0.0,7228,6.0
爭,722d,2849.0,,0.0,722d,24.0
爰,7230,616.0,,0.0,7230,7.0
爱,,0.0,,0.0,7231,25.0
牒,7252,420.0,,0.0,7252,197.0
牓,7253,8.0,,0.0,7253,3.0
牕,7255,51.0,,0.0,7255,1.0
牖,7256,24.0,,0.0,7256,1.0
牘,7258,229.0,,0.0,7258,20.0
牜,,0.0,,0.0,725c,1.0
牠,,0.0,,0.0,7260,2.0
爹,,0.0,,0.0,7239,1.0
爻,723b,62.0,,0.0,723b,34.0
爼,723c,77.0,,0.0,723c,1.0
爿,723f,10.0,,0.0,,0.0
牀,7240,472.0,,0.0,7240,11.0
牁,,0.0,,0.0,7241,13.0
狀,,0.0,,0.0,72c0,6.0
狁,,0.0,,0.0,72c1,1.0
狃,72c3,38.0,,0.0,,0.0
牯,,0.0,,0.0,726f,1.0
牴,7274,60.0,,0.0,,0.0
牾,727e,24.0,,0.0,,0.0
犁,7281,54.0,,0.0,7281,11.0
犂,7282,50.0,,0.0,7282,32.0
犇,7287,557.0,,0.0,7287,5.0
犍,728d,45.0,,0.0,728d,18.0
犒,7292,106.0,,0.0,7292,3.0
犖,7296,10.0,,0.0,7296,2.0
犛,,0.0,,0.0,729b,19.0
犢,72a2,317.0,,0.0,72a2,29.0
牎,,0.0,,0.0,724e,1.0
䘬,462c,3.0,,0.0,,0.0
䘮,462e,1.0,,0.0,,0.0
䘯,462f,8.0,,0.0,,0.0
䘲,4632,6.0,,0.0,,0.0
䘷,4637,4.0,,0.0,,0.0
䗖,45d6,5.0,,0.0,,0.0
䗗,45d7,2.0,,0.0,,0.0
䗚,45da,3.0,,0.0,,0.0
䗝,45dd,22.0,,0.0,,0.0
䗢,45e2,1.0,,0.0,,0.0
䗦,45e6,5.0,,0.0,,0.0
䗨,45e8,6.0,,0.0,,0.0
犱,72b1,1.0,,0.0,,0.0
犲,,0.0,,0.0,72b2,1.0
犴,,0.0,,0.0,72b4,2.0
犹,,0.0,,0.0,72b9,1.0
狒,72d2,131.0,,0.0,72d2,17.0
狔,,0.0,,0.0,72d4,1.0
狖,,0.0,,0.0,72d6,2.0
狗,72d7,3448.0,,0.0,72d7,957.0
狠,72e0,9.0,,0.0,72e0,1.0
狡,72e1,1459.0,,0.0,72e1,252.0
狢,72e2,69.0,,0.0,72e2,11.0
犧,72a7,344.0,,0.0,72a7,1.0
犨,,0.0,,0.0,72a8,1.0
犭,72ad,4.0,,0.0,72ad,2.0
犮,,0.0,,0.0,72ae,20.0
犰,,0.0,,0.0,72b0,3.0
䘙,4619,6.0,,0.0,,0.0
䘜,461c,4.0,,0.0,,0.0
䘝,461d,1.0,,0.0,,0.0
䘞,461e,1.0,,0.0,,0.0
狹,72f9,1360.0,,0.0,72f9,10.0
狻,72fb,6.0,,0.0,72fb,1.0
狼,72fc,5863.0,,0.0,72fc,3414.0
狽,72fd,2582.0,,0.0,72fd,83.0
猁,,0.0,,0.0,7301,1.0
猇,,0.0,,0.0,7307,1.0
猊,730a,36.0,,0.0,730a,20.0
猎,,0.0,,0.0,730e,1.0
猖,7316,76.0,,0.0,7316,5.0
猗,7317,9.0,,0.0,7317,46.0
猜,731c,473.0,,0.0,731c,51.0
狄,72c4,206.0,,0.0,72c4,112.0
狆,72c6,248.0,,0.0,72c6,8.0
狍,,0.0,,0.0,72cd,1.0
狎,72ce,347.0,,0.0,72ce,3.0
狐,72d0,6566.0,,0.0,72d0,951.0
俉,,0.0,,0.0,4fc9,1.0
俎,4fce,329.0,,0.0,4fce,72.0
俏,4fcf,18.0,,0.0,4fcf,2.0
猞,,0.0,,0.0,731e,1.0
猧,,0.0,,0.0,7327,1.0
猨,7328,42.0,,0.0,7328,1.0
猩,7329,435.0,,0.0,7329,46.0
猯,732f,9.0,,0.0,,0.0
猱,7331,2.0,,0.0,,0.0
猴,7334,847.0,,0.0,7334,50.0
猷,7337,69.0,,0.0,7337,151.0
猾,733e,875.0,,0.0,733e,137.0
狳,,0.0,,0.0,72f3,2.0
狷,72f7,129.0,,0.0,72f7,5.0
狸,72f8,2801.0,,0.0,72f8,460.0
獢,,0.0,,0.0,7362,3.0
獦,7366,12.0,,0.0,,0.0
獪,736a,231.0,,0.0,736a,24.0
獫,,0.0,,0.0,736b,1.0
猝,731d,7.0,,0.0,,0.0
吒,,0.0,,0.0,5412,27.0
吕,,0.0,,0.0,5415,4.0
吗,,0.0,,0.0,5417,1.0
吝,541d,771.0,,0.0,541d,13.0
吞,,0.0,,0.0,541e,9.0
吡,,0.0,,0.0,5421,1.0
叵,53f5,6.0,,0.0,,0.0
俄,4fc4,4391.0,,0.0,4fc4,86.0
俅,,0.0,,0.0,4fc5,12.0
獰,7370,401.0,,0.0,7370,67.0
獵,7375,321.0,,0.0,7375,5.0
獷,7377,3.0,,0.0,,0.0
獸,7378,630.0,,0.0,7378,17.0
獺,737a,246.0,,0.0,737a,77.0
獻,737b,566.0,,0.0,737b,9.0
獼,737c,30.0,,0.0,737c,2.0
玃,,0.0,,0.0,7383,3.0
玅,7385,1.0,,0.0,,0.0
獎,734e,12.0,,0.0,734e,30.0
獏,734f,66.0,,0.0,734f,113.0
獐,,0.0,,0.0,7350,4.0
獒,,0.0,,0.0,7352,3.0
獗,7357,69.0,,0.0,7357,6.0
獙,,0.0,,0.0,7359,8.0
獠,,0.0,,0.0,7360,21.0
玘,,0.0,,0.0,7398,2.0
玛,,0.0,,0.0,739b,6.0
玟,,0.0,,0.0,739f,14.0
玠,73a0,15.0,,0.0,73a0,1.0
玢,,0.0,,0.0,73a2,2.0
玥,,0.0,,0.0,73a5,5.0
玦,73a6,19.0,,0.0,73a6,5.0
玨,73a8,6.0,,0.0,73a8,2.0
玫,73ab,24.0,,0.0,73ab,35.0
环,,0.0,,0.0,73af,13.0
现,,0.0,,0.0,73b0,3.0
玳,73b3,29.0,,0.0,73b3,7.0
獬,,0.0,,0.0,736c,3.0
獮,,0.0,,0.0,736e,1.0
玵,73b5,10.0,,0.0,73b5,1.0
玷,73b7,10.0,,0.0,73b7,2.0
玹,,0.0,,0.0,73b9,6.0
玻,73bb,542.0,,0.0,73bb,53.0
珀,73c0,301.0,,0.0,73c0,218.0
珈,73c8,1122.0,,0.0,73c8,173.0
珉,73c9,14.0,,0.0,73c9,47.0
珋,,0.0,,0.0,73cb,1.0
珌,,0.0,,0.0,73cc,2.0
珎,73ce,18.0,,0.0,73ce,15.0
珏,73cf,48.0,,0.0,73cf,11.0
珑,,0.0,,0.0,73d1,1.0
珖,,0.0,,0.0,73d6,15.0
玕,7395,111.0,,0.0,7395,7.0
琛,,0.0,,0.0,741b,41.0
琠,,0.0,,0.0,7420,2.0
珙,73d9,24.0,,0.0,73d9,6.0
珝,,0.0,,0.0,73dd,1.0
珞,73de,131.0,,0.0,73de,6.0
珡,,0.0,,0.0,73e1,1.0
珣,73e3,5.0,,0.0,73e3,14.0
珥,73e5,10.0,,0.0,73e5,38.0
珦,,0.0,,0.0,73e6,1.0
珩,73e9,2.0,,0.0,73e9,1.0
珪,73ea,108.0,,0.0,73ea,205.0
珫,,0.0,,0.0,73eb,1.0
珮,73ee,7.0,,0.0,73ee,7.0
珱,,0.0,,0.0,73f1,2.0
珵,,0.0,,0.0,73f5,6.0
珸,73f8,68.0,,0.0,73f8,32.0
琯,742f,1.0,,0.0,742f,2.0
琰,7430,29.0,,0.0,7430,29.0
琱,,0.0,,0.0,7431,1.0
琲,7432,1103.0,,0.0,7432,165.0
珺,,0.0,,0.0,73fa,4.0
珽,,0.0,,0.0,73fd,13.0
琅,7405,124.0,,0.0,7405,74.0
琇,7407,1.0,,0.0,7407,24.0
琊,740a,13.0,,0.0,740a,3.0
琏,,0.0,,0.0,740f,1.0
琓,,0.0,,0.0,7413,1.0
琕,,0.0,,0.0,7415,4.0
琙,,0.0,,0.0,7419,1.0
琚,741a,2.0,,0.0,741a,5.0
瑄,7444,2.0,,0.0,7444,9.0
瑆,,0.0,,0.0,7446,4.0
瑇,7447,22.0,,0.0,7447,1.0
瑊,,0.0,,0.0,744a,1.0
瑋,,0.0,,0.0,744b,25.0
瑌,,0.0,,0.0,744c,1.0
瑗,7457,2.0,,0.0,7457,13.0
琤,7424,2.0,,0.0,7424,1.0
琥,7425,302.0,,0.0,7425,225.0
琦,7426,88.0,,0.0,7426,70.0
琨,,0.0,,0.0,7428,39.0
琪,742a,17.0,,0.0,742a,59.0
琫,,0.0,,0.0,742b,7.0
琬,742c,34.0,,0.0,742c,46.0
琮,742e,42.0,,0.0,742e,45.0
瑢,,0.0,,0.0,7462,4.0
瑣,7463,490.0,,0.0,7463,33.0
瑤,7464,104.0,,0.0,7464,196.0
